uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,conn_state,orig_ip_bytes,resp_ip_bytes,is_malicious,rtt,query,answers,TTLs,version,server_name,resumed,next_protocol,established,cert_chain_fuids,trans_depth,host,uri,request_body_len,response_body_len,status_code,status_msg,resp_fuids,fuid,tx_hosts,rx_hosts,source,analyzers,is_orig,seen_bytes,total_bytes,certificate.serial,certificate.issuer,certificate.key_alg,certificate.valid_duration
141,1,53922,26,443,1,318.040141,6,1886,4445,1,,46,43,58,0,15,0,1,1,12,,3,11,,,,3,18,24,12,0,1,1,0,1102.0,,12,5,2,
32,1,47782,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
211,1,47782,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
212,1,57544,16,443,1,300.044211,2,2013,1993,1,,46,43,58,1,1,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
172,1,54534,15,443,1,427.513973,2,17163,5097,0,,46,43,58,1,2,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
2,1,47782,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
21,1,47782,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
126,1,4562,40,53,2,0.009127,6,65,81,1,0.009127,32,9,10,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
82,0,3,0,4,0,7.854616,0,1728,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
17,1,37410,17,443,1,240.073302,5,2221,4870,0,,46,43,58,1,24,0,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
51,1,57736,39,5228,1,0.123012,4,1449,1274,1,,46,43,58,1,27,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
4,1,47786,7,8000,1,431.165056,6,7973,2048,1,,46,43,58,3,43,2,2,2,20,1.0,0,9,0.0,0.0,101.0,2,18,70,18,2,2,2,2,,,12,5,2,
37,1,44070,24,443,1,300.065339,2,4955,4841,1,,46,43,58,0,31,0,1,1,14,,3,11,,,,3,18,46,11,0,1,1,0,1512.0,,10,1,0,7261200.0
37,1,44070,24,443,1,300.065339,2,4955,4841,1,,46,43,58,0,31,0,1,1,14,,3,11,,,,3,18,59,11,0,1,1,0,1102.0,,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,12,51,6,0,0,0,0,101.0,101.0,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,12,65,6,0,0,0,0,5.0,5.0,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,12,41,6,0,0,0,0,4.0,4.0,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,2.0,0,6,0.0,5.0,200.0,1,16,51,6,0,0,0,0,101.0,101.0,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,2.0,0,6,0.0,5.0,200.0,1,16,65,6,0,0,0,0,5.0,5.0,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,2.0,0,6,0.0,5.0,200.0,1,16,41,6,0,0,0,0,4.0,4.0,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,3.0,0,6,0.0,4.0,200.0,1,8,51,6,0,0,0,0,101.0,101.0,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,3.0,0,6,0.0,4.0,200.0,1,8,65,6,0,0,0,0,5.0,5.0,12,5,2,
189,1,47800,7,8000,1,300.840965,6,1910,1068,1,,46,43,58,3,43,2,2,2,20,3.0,0,6,0.0,4.0,200.0,1,8,41,6,0,0,0,0,4.0,4.0,12,5,2,
45,1,47800,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
136,1,47800,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
95,1,47800,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
46,1,47800,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
81,2,5228,0,57736,1,0.021791,0,128,132,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
16,1,44670,12,443,1,0.050721,0,135,135,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
86,1,60690,35,443,1,0.050933,0,135,135,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
170,0,3,0,4,0,4.3e-05,0,1152,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
88,1,47802,7,8000,1,869.676223,2,731444,20378,1,,46,43,58,3,43,2,2,2,20,1.0,0,10,0.0,0.0,101.0,2,18,70,18,2,2,2,2,,,12,5,2,
15,1,54040,28,443,1,0.16237,6,1461,1844,1,,46,43,58,1,18,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
